Dept,Circo,SUM of Manuel Valls,SUM of Sylvia Pinel,SUM of Vincent Peillon,SUM of François de Rugy,SUM of Arnaud Montebourg,SUM of Benoit Hamon,SUM of Jean-Luc Bennahmias,SUM of Blanc,SUM of Nul,SUM of Total des votes exprimés,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,17 - 3,924,64,229,112,553,1064,35,23,12,2981,31.00,2.15,7.68,3.76,18.55,35.69,1.17
,17 - 1,1859,130,401,216,804,1955,50,31,31,5415,34.33,2.40,7.41,3.99,14.85,36.10,0.92
,17 - 4,625,56,117,60,345,616,22,17,15,1841,33.95,3.04,6.36,3.26,18.74,33.46,1.20
18,18 - 1,493,25,103,33,352,486,14,12,8,1506,32.74,1.66,6.84,2.19,23.37,32.27,0.93
,18 - 3,418,29,81,40,445,473,10,7,9,1496,27.94,1.94,5.41,2.67,29.75,31.62,0.67
,18 - 2,819,46,160,92,714,904,23,8,10,2758,29.70,1.67,5.80,3.34,25.89,32.78,0.83
19,19 - 1,1186,62,272,104,457,1108,22,55,45,3211,36.94,1.93,8.47,3.24,14.23,34.51,0.69
,19 - 2,772,29,165,58,309,623,20,13,20,1976,39.07,1.47,8.35,2.94,15.64,31.53,1.01
21,21 - 2,1004,75,378,165,938,1266,33,20,26,3859,26.02,1.94,9.80,4.28,24.31,32.81,0.86
,21 - 3,1194,82,314,141,1189,1224,36,37,37,4180,28.56,1.96,7.51,3.37,28.44,29.28,0.86
,21 - 1,610,27,156,91,456,487,16,9,10,1843,33.10,1.47,8.46,4.94,24.74,26.42,0.87
,21 - 4,549,102,122,57,602,666,23,13,15,2121,25.88,4.81,5.75,2.69,28.38,31.40,1.08
,21 - 5,673,41,136,76,775,637,39,13,16,2377,28.31,1.72,5.72,3.20,32.60,26.80,1.64
22,22 - 4,1011,47,128,118,482,1358,24,16,19,3168,31.91,1.48,4.04,3.72,15.21,42.87,0.76
,22 - 5,2076,123,319,295,916,2682,82,34,43,6493,31.97,1.89,4.91,4.54,14.11,41.31,1.26
