Departements,Code circo,,,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
,32|2,,,34.29,3.582,6.674,3.061,16.5,34.78,1.1
33,33|1,,,34.77,1.461,5.61,4.324,15.19,38.22,0.4
,33|10,,,33.45,1.821,7.254,3.146,17.62,35.54,1.15
,33|11,,,33.7,1.533,5.387,3.89,21.69,32.84,0.93
,33|12,,,31.52,2.166,6.618,3.449,17.08,38.22,0.92
,33|2,,,25.58,1.639,7.832,4.715,12.34,47.02,0.85
,33|3,,,26.76,1.458,6.645,3.43,16.12,44.65,0.91
,33|4,,,34.03,2.135,5.693,3.213,17.66,36.25,1.01
,33|5,,,33.5,1.918,6.394,3.502,19.26,34.44,0.97
,33|6,,,33.47,1.754,6.782,3.792,16.45,37,1.05
,33|7,,,33.38,2.066,7.884,4.322,15.29,36.19,0.85
,33|8,,,36.06,1.536,7.015,4.139,16.63,33.56,1.04
,33|9,,,32.68,1.673,6.441,3.43,17.56,36.75,1.45
34,34|1,,,34.24,1.782,5.802,2.73,17.67,36.82,0.94
,34|2,,,26.81,1.857,6.74,3.589,14.48,45.53,0.98
,34|3,,,33.14,2.561,6.792,3.786,15.83,37,0.87
,34|4,,,30.47,2.413,5.91,3.476,17.89,38.97,1.26
,34|5,,,34.44,2.686,5.186,2.898,19.2,34.52,1.06
,34|6,,,40.38,2.201,5.567,2.285,18.03,30.41,1.12
,34|7,,,34.83,2.972,7.745,2.429,20,31.18,0.82
,34|8,,,29.35,2.322,5.618,3.693,18.82,39.54,0.64
,34|9,,,35.37,1.965,5.621,3.884,17.64,34.46,1.05
35,35|1,,,30.07,1.647,6.711,4.545,14.82,41.42,0.76
,35|2,,,30.65,1.713,7.599,5.292,13.67,41,0.67
,35|3,,,28.32,2.015,6.083,4.6,14.18,43.91,0.87
,35|4,,,26.67,1.563,5.13,4.349,16.07,45.12,1.08
,35|5,,,27.52,1.552,5.733,4.719,16.56,43.04,0.85
,35|6,,,28.28,1.922,5.799,3.942,17.07,42.03,0.94
,35|7,,,34.45,1.971,6.067,4.271,14.83,37.3,1.09
,35|8,,,26.69,1.66,6.981,4.401,12.94,46.38,0.92
36,36|1,,,35.73,1.968,6.145,3.162,18.97,32.99,1.01
,36|2,,,31.35,2.048,5.829,2.783,22.53,34.71,0.73
37,37|1,,,30.43,1.832,6.89,4.265,14.24,41.42,0.9
,37|2,,,30.56,1.88,7.202,3.983,19.24,35.97,1.14
,37|3,,,32.14,1.556,6.803,3.459,19.77,35.42,0.83
,37|4,,,28.53,1.445,5.646,3.027,26.05,34.34,0.95
,37|5,,,32.46,1.907,6.369,3.912,20.33,33.97,1.03
38,38|1,,,31.97,1.76,7.932,4.573,13.01,39.76,0.99
,38|10,,,32.65,1.587,6.235,3.514,18.32,36.81,0.86
,38|2,,,33.26,2.354,7.421,3.815,17.46,34.66,1.01
,38|3,,,29.32,1.716,6.13,3.58,16.5,41.73,1
,38|4,,,34.25,2.074,6.814,4.237,15.43,35.94,1.24
,38|5,,,31.69,1.631,7.036,4.181,17.13,37.52,0.79
,38|6,,,29.3,2.719,6.381,4.162,19.81,36.12,1.49
,38|7,,,33.62,2.192,6.03,3.563,18.36,35.03,1.18
,38|8,,,31.63,1.583,7.876,4.023,19.22,34.84,0.81
,38|9,,,29.27,2.411,6.824,4.123,18.08,38.55,0.72
39,39|1,,,26.01,1.369,5.819,2.836,32.51,30.51,0.92
,39|2,,,25.98,2.035,6.706,3.832,21.19,37.36,2.87
,39|3,,,28.64,1.531,5.672,3.062,27.73,32.21,1.13
40,40|1,,,30.8,1.331,7.047,2.364,15.01,42.53,1.05
,40|2,,,34.05,1.577,6.503,3.193,15.3,39.15,1.03
,40|3,,,30.97,1.963,5.467,1.91,14.67,44.1,0.9
41,41|1,,,32.16,2.588,4.789,4.142,15.33,39.93,1.03
,41|2,,,31.84,2.72,6.32,3.92,18.16,35.68,1.36
,41|3,,,32.97,1.547,5.714,5.119,17.26,36.66,0.71
42,42|1,,,29.66,2.107,5.703,3.037,15.74,43.02,0.71
,42|2,,,30.36,2.182,6.109,3.304,16.77,40.71,0.56
,42|3,,,33.01,2.234,6.383,3.328,20.15,34.06,0.82
,42|4,,,32.2,2.163,5.451,3.079,21.55,35.74,0.66
,42|5,,,30.47,1.425,5.951,3.599,23.44,34.21,0.89
,42|6,,,29.77,1.571,5.097,3.653,19.58,39.2,1.1
43,43|1,,,28.75,1.772,4.875,4.432,19.61,39.5,1.05
,43|2,,,35.32,1.77,5.032,2.702,18.91,35.5,0.74
44,44|1,,,28.65,0.921,5.741,18.19,13.01,32.71,0.76
,44|10,,,27.79,1.285,7.12,8.875,14.71,39.07,1.14
,44|2,,,22.5,1.234,7.304,9.774,12.59,45.97,0.61
,44|3,,,23.7,1.443,7.46,9.319,13.99,43.22,0.85
,44|4,,,25.37,1.452,7.097,7.618,14.2,43.39,0.84
,44|5,,,28.01,1.536,6.797,9.485,14.65,38.55,0.96
,44|6,,,27.58,1.437,6.128,8.069,15.9,40,0.86
,44|7,,,33.23,1.584,5.646,5.77,17.97,34.96,0.81
,44|8,,,30.73,1.583,5.756,5.345,17.1,38.56,0.9
,44|9,,,25.72,1.349,5.501,7.437,16.45,42.71,0.81
45,45|1,,,36.42,1.479,7.777,4.156,16.05,33.15,0.94
,45|2,,,35.68,2.4,6.266,4.355,17.51,32.8,0.97
,45|3,,,35.41,2.006,6.323,3.358,19.66,32.14,1.09
,45|4,,,34.95,1.873,6.03,2.224,21.01,32.55,1.34
,45|5,,,36.08,2.409,5.516,3.868,18.57,32.59,0.95
,45|6,,,30.3,2.135,8.321,3.996,16.34,37.85,1.04
46,46|1,,,34.36,4.01,6.294,3.401,16.7,34.16,1.06
,46|2,,,35.82,4.705,5.314,3.367,15.82,33.79,1.17
47,47|1,,,33.58,3,6.411,3.47,16.76,36.05,0.7
,47|2,,,37.6,2.847,7.118,2.01,18.92,30.73,0.75
,47|3,,,35.15,2.411,6.818,3.107,17.3,34.41,0.78
48,48|1,,,36.07,2.88,4.39,3.116,15.91,36.68,0.94
49,49|1,,,29.99,1.497,7.832,5.137,14.05,40.38,1.1
,49|2,,,32.54,1.509,6.582,4.8,14.16,39.52,0.87
,49|3,,,34.52,2.402,6.815,4.078,16.14,35.13,0.89
,49|4,,,29.79,1.611,6.567,4,16.65,40.41,0.95
,49|5,,,38.03,1.323,6.615,3.914,16.86,32.52,0.71
,49|6,,,30.65,1.72,6.881,6.506,14.67,38.97,0.71
,49|7,,,32.77,1.673,6.584,4.547,16,37.32,1.09
50,50|1,,,31.62,1.549,5.895,3.614,19.32,37,0.98
,50|2,,,31.09,1.792,5.786,4.197,17.52,38.83,0.77
,50|3,,,29.75,1.742,5.364,3.209,19.25,39.24,1.42
,50|4,,,30.42,1.922,6.742,2.312,19.16,38.72,0.69
51,51|1,,,30.68,2.078,5.745,1.833,19.07,39.24,1.34
,51|2,,,27.26,1.958,8.734,3.603,18.25,39.28,0.9
,51|3,,,31.41,2.506,7.093,3.946,19.84,33.92,1.28
,51|4,,,36.08,1.581,6.524,3.954,20.66,30.3,0.88
,51|5,,,39.77,2.119,6.109,3.491,19.07,27.43,1.99
52,52|1,,,32.09,1.947,6.435,3.556,21.84,33.44,0.67
,52|2,,,32.78,2.255,5.112,3.609,23.6,31.72,0.9
53,53|1,,,35.12,2.344,7.77,4.965,15.86,32.87,1.05
,53|2,,,33.27,1.698,5.531,5.182,14.85,38.45,1
,53|3,,,32.35,1.985,5.735,5.514,16.25,37.2,0.95
54,54|1,,,27.19,1.338,6.858,3.211,15.55,44.19,1.63
,54|2,,,31.13,1.868,6.944,4.065,15.55,39.57,0.85
,54|3,,,34.87,1.055,5.685,1.641,21.98,33.41,1.34
,54|4,,,32.36,2.037,4.597,2.985,19.57,37.58,0.85
,54|5,,,34.32,1.975,5.24,3.264,17.99,35.86,1.33
,54|6,,,31.53,1.452,5.726,2.564,21.75,35.64,1.32
55,55|1,,,38.06,1.979,6.73,4.015,16.45,30.76,1.97
,55|2,,,42.56,1.763,3.862,3.106,15.19,32.4,1.25
56,56|1,,,37.16,1.691,5.969,4.38,13.34,36.3,1.14
,56|2,,,31.58,1.348,5.703,4.664,13.79,41.72,1.18
,56|3,,,34.88,1.803,4.839,4.751,14.6,38.23,0.87
,56|4,,,29.44,1.708,3.925,4.107,18.39,41.25,1.16
,56|5,,,36,1.669,5.193,4.498,13.77,37.88,0.97
,56|6,,,34.55,1.813,4.722,4.261,14.1,39.47,1.06
57,57|1,,,31.42,0.904,5.666,2.761,28.14,30.04,1.04
,57|2,,,32.29,1.159,6.043,4.029,22.16,32.96,1.34
,57|3,,,30.63,1.92,7.714,3.45,18.16,36.65,1.46
,57|4,,,32.81,1.119,9.294,2.687,17.13,35.16,1.79
,57|5,,,36.23,1.032,6.422,4.357,19.38,32.22,0.34
,57|6,,,33.66,1.782,5.445,2.079,16.33,39.7,0.99
,57|7,,,34,1.789,6.413,2.982,20.8,33.25,0.74
,57|8,,,32.6,1.699,4.514,1.646,29.63,29.2,0.69
,57|9,,,33.19,1.578,5.549,3.105,23.77,31.77,1.01
58,58|1,,,32.32,1.297,4.818,3.002,30.28,27.27,1
,58|2,,,25.49,1.622,4.193,1.989,41.59,24.3,0.79
59,59|1,,,22.1,1.6,7.076,4.043,14.91,49,1.26
,59|10,,,34.64,1.109,5.425,3.329,16.15,38.71,0.61
,59|11,,,25.52,1.752,6.786,3.235,15.01,46.78,0.89
,59|12,,,35.1,0.973,5.688,1.796,19.83,36.22,0.37
,59|13,,,31.91,2.279,5.243,2.599,19.65,36.89,1.41
,59|14,,,35.66,3.068,4.867,2.539,21.79,31.42,0.63
,59|15,,,32.19,2.677,5.915,3.3,16.62,37.17,2.11
,59|16,,,29,2,4.466,2.133,17.53,44.13,0.73
,59|17,,,32.15,1.232,6.61,4.201,18.48,36.41,0.89
,59|18,,,38.65,1.561,4.866,2.846,19,32.5,0.55
,59|19,,,29.16,1.602,11.65,1.356,18.37,36.8,1.04
,59|2,,,23.32,1.848,7.967,3.421,15.7,46.5,1.22
,59|20,,,34.84,2.206,5.342,2.439,16.72,36.23,2.2
,59|21,,,33.8,1.822,5.633,3.479,18.8,35.45,0.99
,59|3,,,38.58,1.736,5.645,2.233,19.91,31.07,0.8
,59|4,,,25.88,1.683,7.026,4.034,15.2,45.12,1.04
,59|5,,,29.65,1.603,7.251,4.732,16.52,39.46,0.76
,59|6,,,34.06,1.653,6.805,3.767,16.37,36.21,1.11
,59|7,,,27.68,1.533,7.158,3.14,18.33,40.83,1.31
,59|8,,,36.24,2.314,5.621,1.917,21.36,31.21,1.32
,59|9,,,30.16,1.959,5.975,3.68,14.57,42.73,0.9
60,60|1,,,28.54,2.816,6.197,1.877,19.34,40.56,0.65
,60|2,,,28.28,2.693,6.896,3.34,18.85,39.43,0.48
,60|3,,,31.08,2.416,7.333,2.166,19.25,36.83,0.91
,60|4,,,33.51,1.737,6.703,5.213,18.37,33.76,0.69
,60|5,,,35.07,1.679,6.422,3.754,19.16,32.8,1.08
,60|6,,,31.9,2.505,3.452,3.563,19.32,38.36,0.89
,60|7,,,30.16,2.236,7.622,2.601,22.5,33.77,1.09
61,61|1,,,31.12,1.724,8.267,4.553,17.37,35.49,1.45
,61|2,,,31.65,3.173,6.916,4.719,15.21,36.61,1.7
,61|3,,,36.42,1.919,7.5,3.794,16.83,32.81,0.71
